ID,Age,Gender,Education_Status,Employment_Status,Working_Week (Yearly),Industry_Status,Occupation_Status,Race,Hispanic_Origin,Martial_Status,Household_Status,Household_Summary,Citizenship,Birth_Country,Birth_Country (Father),Birth_Country (Mother),Tax_Status,Gains,Losses,Dividends,Income_Status,Income
TRAIN_00000,63,0,2,19,4,27,51,66,71,81,119,119,127,218,218,218,261,0,0,0,267,425
TRAIN_00001,37,0,3,19,52,28,51,66,71,82,89,119,127,218,218,218,262,0,0,0,268,0
TRAIN_00002,58,1,4,19,52,29,52,67,71,81,119,119,127,218,218,218,263,3411,0,0,268,860
TRAIN_00003,44,0,4,19,52,30,53,66,71,83,89,119,127,218,218,218,262,0,0,0,268,850
TRAIN_00004,37,1,4,19,52,30,54,66,71,83,119,119,127,218,218,218,264,0,0,0,267,570
TRAIN_00005,55,1,4,19,50,30,51,66,71,84,89,119,127,218,218,218,262,0,0,560,268,300
TRAIN_00006,67,0,2,20,0,31,267,66,71,83,89,119,127,218,218,218,261,0,0,0,267,0
TRAIN_00007,64,0,5,21,5,31,267,66,71,81,119,119,127,218,218,218,263,0,0,2052,268,0
TRAIN_00008,24,1,6,20,52,30,54,66,71,262,90,120,127,218,218,218,262,0,0,0,268,0
TRAIN_00009,53,0,4,22,30,32,56,66,71,81,119,119,127,218,218,218,263,0,0,0,268,0
TRAIN_00010,56,1,4,20,52,33,51,67,71,81,121,121,127,218,218,218,265,0,0,0,268,0
TRAIN_00011,75,1,7,20,0,31,267,66,72,81,92,122,128,219,219,219,261,0,0,0,267,0
TRAIN_00012,34,1,4,19,52,34,57,66,71,81,119,119,128,220,220,220,263,0,0,0,268,860
TRAIN_00013,40,0,8,19,52,34,56,66,73,81,121,121,128,221,221,221,263,0,0,0,267,800
TRAIN_00014,44,0,4,20,52,35,58,66,71,81,119,119,127,218,218,218,263,0,0,200,269,0
TRAIN_00015,21,1,9,19,40,36,58,66,71,262,90,120,127,218,218,218,261,0,0,0,268,400
TRAIN_00016,10,0,10,20,0,31,267,66,71,262,93,123,127,218,218,218,261,0,0,0,267,0
TRAIN_00017,48,1,6,20,52,37,59,66,71,83,89,119,127,218,218,218,262,0,0,0,268,850
TRAIN_00018,36,0,3,19,20,33,51,66,71,81,119,119,127,218,218,218,263,0,0,46,267,672
TRAIN_00019,29,1,9,20,52,37,52,66,71,81,119,119,127,218,218,218,263,0,0,0,267,950
TRAIN_00020,28,1,4,19,52,30,51,66,74,262,89,119,127,218,267,218,262,0,0,0,268,500
TRAIN_00021,16,1,7,21,14,31,267,66,71,262,93,123,127,218,218,218,262,0,0,0,268,0
TRAIN_00022,31,1,11,20,0,31,267,66,75,86,119,119,129,222,222,222,261,0,0,0,267,0
TRAIN_00023,76,0,11,20,0,31,267,66,71,81,119,119,130,223,223,223,266,0,0,0,268,0
TRAIN_00024,39,1,4,19,52,36,59,66,76,81,121,121,127,218,221,221,263,0,0,0,268,1367
TRAIN_00025,49,0,4,19,52,61,52,66,71,81,119,119,127,218,218,218,263,0,0,0,267,1200
TRAIN_00026,40,0,9,20,52,39,60,66,71,81,119,119,127,218,218,218,263,0,0,0,268,0
TRAIN_00027,60,0,9,20,52,40,57,68,71,81,119,119,127,218,218,218,263,0,0,0,268,1100
TRAIN_00028,63,0,5,21,6,31,267,66,71,81,119,119,127,218,218,218,263,0,0,0,267,0
TRAIN_00029,15,1,2,20,12,27,51,66,71,262,93,123,127,218,218,218,261,0,0,0,268,0
TRAIN_00030,59,0,12,20,48,27,57,66,71,81,119,119,127,218,218,218,263,7298,0,0,269,800
TRAIN_00031,23,1,6,23,30,33,60,66,71,262,89,119,127,218,218,218,262,0,0,0,267,1800
TRAIN_00032,21,0,9,19,52,35,52,66,71,262,90,120,127,218,218,218,262,0,0,0,268,500
TRAIN_00033,35,0,4,19,52,32,57,66,71,81,119,119,131,223,218,218,263,5178,0,0,268,1600
TRAIN_00034,55,0,4,20,52,34,56,68,71,81,119,119,127,218,218,218,263,0,0,48,269,0
TRAIN_00035,16,1,7,21,0,31,267,66,75,262,93,123,127,218,222,222,261,0,0,0,268,0
TRAIN_00036,35,0,6,19,52,61,61,69,71,81,121,121,128,224,224,224,263,0,0,0,268,1400
TRAIN_00037,57,0,6,19,52,35,59,66,71,86,89,119,127,218,218,218,262,0,0,0,269,0
TRAIN_00038,17,1,13,20,52,39,51,66,71,262,94,122,127,218,218,218,262,0,0,0,267,0
TRAIN_00039,18,0,13,20,0,31,267,66,71,262,90,120,127,218,218,218,261,0,0,0,268,0
TRAIN_00040,29,1,6,19,52,29,59,66,71,81,121,121,127,218,218,218,263,0,0,0,268,650
TRAIN_00041,7,0,10,20,0,31,267,66,71,262,93,123,127,218,218,218,261,0,0,0,268,0
TRAIN_00042,52,0,4,19,52,61,61,67,71,81,119,119,127,218,218,218,263,0,0,150,268,600
TRAIN_00043,23,1,4,19,52,30,54,66,71,86,95,120,127,218,218,218,264,0,0,0,268,500
TRAIN_00044,63,0,4,19,52,34,57,66,71,81,119,119,127,218,244,218,263,0,0,0,267,1200
TRAIN_00045,41,0,9,19,52,35,58,66,74,81,119,119,128,225,225,225,263,99999,0,0,269,0
TRAIN_00046,42,1,6,20,50,27,60,66,71,81,121,121,127,218,218,218,263,0,0,0,268,545
TRAIN_00047,30,0,4,20,52,34,52,66,71,262,119,119,127,218,218,218,262,0,2001,0,268,0
TRAIN_00048,17,0,7,20,26,30,62,66,71,262,93,123,127,218,218,218,262,0,0,0,268,550
TRAIN_00049,28,0,9,20,52,30,59,69,71,81,119,119,130,226,226,226,263,0,0,0,268,1030
TRAIN_00050,42,0,9,19,52,61,52,66,71,81,119,119,127,218,218,218,263,7298,0,25,267,1400
TRAIN_00051,18,1,9,19,52,36,51,66,71,262,90,120,127,218,218,218,262,0,0,0,267,550
TRAIN_00052,43,0,4,20,52,29,57,66,71,81,119,119,127,218,218,218,263,0,0,0,268,1000
TRAIN_00053,55,1,4,20,52,41,59,66,71,81,121,121,127,218,218,218,263,0,0,0,269,2400
TRAIN_00054,22,1,9,19,20,42,51,66,77,262,90,120,127,218,218,218,262,0,0,0,267,500
TRAIN_00055,61,0,2,20,0,31,267,67,71,81,119,119,127,218,218,218,263,0,0,0,268,0
TRAIN_00056,17,1,7,21,0,31,267,66,71,262,96,124,127,218,218,218,261,0,0,0,268,0
TRAIN_00057,53,1,4,20,30,42,54,66,71,84,89,119,127,218,218,218,262,0,0,0,267,500
TRAIN_00058,46,1,6,19,52,27,60,66,71,83,89,119,127,218,218,218,262,0,0,0,268,2000
TRAIN_00059,63,0,14,20,0,31,267,66,71,81,119,119,127,218,218,218,261,0,0,0,268,0
TRAIN_00060,19,1,9,20,30,35,54,66,71,262,97,122,127,218,218,218,262,0,0,0,268,0
TRAIN_00061,48,1,4,19,52,30,54,66,71,81,121,121,127,218,267,218,263,0,0,0,267,700
TRAIN_00062,61,1,4,20,0,31,267,66,71,81,121,121,127,218,218,218,263,0,0,0,267,0
